rank,page,source_page,line_x,line_y,rough_x,rough_y,dx,dy,line_ink,line_edges,rough_edges,rough_std,edge_f1,chamfer,orientation_entropy,match_score
737,0020,page0020.clip,2880,2880,2912,2696,32,-184,0.014895833333333334,1573,872,11.949767878286876,0.39748704743068847,14.332144260406494,0.7097686946266255,-0.3111786592265561
738,0039,page0039.clip,3600,720,3784,904,184,184,0.02701388888888889,1662,5754,32.94328064802337,0.37687894753680434,13.25006914138794,0.5442331579463235,-0.3302325642365076
739,0007,page0007.clip,2880,2880,2712,2696,-168,-184,0.09116753472222222,4916,9874,25.17052465210733,0.37172610995283795,14.03233528137207,0.7719356762381491,-0.3302879655197051
740,0019,page0019.clip,4481,720,4481,552,0,-168,0.012044270833333334,784,925,15.444697277630544,0.387266716023194,13.04223108291626,0.4239698291826538,-0.332936773121159
741,0002,page0002.clip,720,2880,608,2808,-112,-72,0.05472222222222222,4512,8273,37.71647444593197,0.3881575108785442,13.745388984680176,0.5925040358784215,-0.33428701384057685
742,0007,page0007.clip,3600,0,3560,192,-40,192,0.03940538194444444,4734,4717,16.326397171252204,0.3782927325391362,13.791085243225098,0.6638162246462355,-0.3357004062323504
743,0010,page0010.clip,2880,5040,3016,5232,136,192,0.04718315972222222,3985,4926,24.103248070798504,0.38030524544201694,13.937248229980469,0.6869678741805864,-0.33634911944154033
744,0012,page0012.clip,720,1440,568,1624,-152,184,0.0613671875,7254,10162,36.639807575709135,0.3646004607250232,13.569859504699707,0.6911209268505092,-0.33807285583441815
745,0019,page0019.clip,1440,1440,1272,1440,-168,0,0.04043402777777778,2388,5551,32.56679595841313,0.36558305531848867,13.760356903076172,0.7288210696133012,-0.3410992483321501
746,0027,page0027.clip,720,1440,896,1328,176,-112,0.04098090277777778,6336,4982,22.102530506853434,0.3491546110443107,13.471212387084961,0.7465774446244893,-0.3512074664958472
747,0009,page0009.clip,2880,4320,2904,4392,24,72,0.028641493055555557,4782,10105,28.899978539056665,0.39202173553202874,13.721320629119873,0.540029013661598,-0.3521322372345525
748,0031,page0031.clip,720,1440,840,1552,120,112,0.08148871527777778,6809,8189,28.893179295479413,0.3534933332521808,13.787593841552734,0.7960635833886825,-0.35320123533869685
749,0017,page0017.clip,2880,3600,2856,3544,-24,-56,0.06779947916666666,5662,10601,41.45209545294884,0.35664195468752335,13.772810459136963,0.7710826141776597,-0.3544862270476481
