rank,sketch_page,line_page,model_index,region_index,score,edge_f1,edge_precision,edge_recall,chamfer,inlier_count,match_count,coverage,orientation_entropy,area_ratio,scale,angle,bbox,bbox_full,full_matrix,decision,notes
100,page0043,page0043,1,1,4.638937964741178,0.7905210618142274,0.7075664621676891,0.8955100351748396,2.7661956865666113,5,139,0.25,0.8119508208449955,0.127208480565371,1.0829702569664543,0.31009013939886054,"(326, 440, 566, 680)","(2859, 3859, 4964, 5964)","[[1.0829543964939576, -0.005861108120140465, -183.0463005154023], [0.005861108120140465, 1.0829543964939576, -301.4848105678964]]",,
101,page0026,page0026,1,11,4.638417156927564,0.7815120440698283,0.6770810888457948,0.9240319606637984,2.9187979388741603,5,121,0.3125,0.788569235057359,0.2862190812720848,0.8850409853047446,0.17177776464661684,"(0, 300, 360, 660)","(0, 2631, 3157, 5788)","[[0.8850370076993958, -0.002653426406159438, 328.26389682608004], [0.002653426406159438, 0.8850370076993958, 471.172925177807]]",,
102,page0038,page0038,1,17,4.6362820260814965,0.7773032526161717,0.6775804661487237,0.9114450127877238,3.2263729189142283,9,159,0.3125,0.8124751695302475,0.2862190812720848,1.082372017345384,-0.12061543017813008,"(60, 420, 420, 780)","(526, 3683, 3683, 6841)","[[1.0823696190267862, 0.002278539033233993, -243.8102287079996], [-0.002278539033233993, 1.0823696190267862, -262.14778631694486]]",,
103,page0016,page0016,1,1,4.6277228519558475,0.7699872306372558,0.645877776383486,0.9531388152077808,3.5060437850269643,9,176,0.375,0.8002315557695947,0.127208480565371,1.0807965500651378,0.07414965356949786,"(40, 360, 280, 600)","(351, 3157, 2456, 5262)","[[1.0807956449853189, -0.0013987185108056172, -431.7749119682051], [0.0013987185108056172, 1.0807956449853189, -750.7655222823277]]",,
104,page0018,page0018,1,21,4.610477746348684,0.80273173405058,0.7323706715267069,0.8880493139789223,3.1819952501137148,5,157,0.25,0.8040087372639505,0.2862190812720848,1.057669521711117,0.36854530970784743,"(206, 420, 566, 780)","(1807, 3683, 4964, 6841)","[[1.0576476413236267, -0.006803231525691531, -501.8092451128751], [0.006803231525691531, 1.0576476413236267, -718.6199260909447]]",,
105,page0030,page0030,1,4,4.609157734963118,0.776791653203285,0.7357055548010322,0.8227381610466188,3.126296944094932,15,136,0.25,0.8034352638711324,0.127208480565371,0.9209516706281071,0.42056920437712686,"(120, 440, 360, 680)","(1052, 3859, 3157, 5964)","[[0.9209268601823372, -0.006760016819761613, 330.34098410941425], [0.006760016819761613, 0.9209268601823372, 419.32295613178195]]",,
106,page0016,page0016,1,7,4.608906846979949,0.8094353932422701,0.6989761092150171,0.9613590939373751,3.2651790772453717,5,176,0.25,0.7809431998878821,0.127208480565371,1.0807965500651378,0.07414965356949786,"(0, 0, 240, 240)","(0, 0, 2105, 2105)","[[1.0807956449853189, -0.0013987185108056172, -431.7749119682051], [0.0013987185108056172, 1.0807956449853189, -750.7655222823277]]",,
107,page0052,page0052,1,6,4.605392011939733,0.7754427268865429,0.6951001921493275,0.876785155842802,3.38128914490772,10,160,0.3125,0.8099234671909474,0.2862190812720848,1.0969382809864012,0.32916808207739234,"(206, 180, 566, 540)","(1807, 1579, 4964, 4736)","[[1.0969201783773725, -0.0063019490599286535, -206.3361022351813], [0.0063019490599286535, 1.0969201783773725, -350.9049318412866]]",,
108,page0034,page0034,1,6,4.589193388379436,0.7901710499330201,0.7085083216674444,0.8931111111111111,3.011342773730285,6,139,0.25,0.7901218444671936,0.127208480565371,0.8975139848238316,1.94183429927027,"(40, 280, 280, 520)","(351, 2456, 2456, 4560)","[[0.8969985797031081, -0.030412184481877696, -105.53787587753882], [0.030412184481877696, 0.8969985797031081, -372.41746885725297]]",,
109,page0001,page0001,1,3,4.588187864267021,0.7967881953911182,0.7815377256965204,0.8126456876456877,2.7573514574471383,6,101,0.1875,0.8011974511427751,0.127208480565371,0.86187513213317,0.24308133948258762,"(200, 360, 440, 600)","(1754, 3157, 3859, 5262)","[[0.8618673755280983, -0.003656554372248884, 102.11283375495096], [0.003656554372248884, 0.8618673755280983, 255.8267056119249]]",,
110,page0023,page0023,1,10,4.583615740798993,0.7769203302999551,0.6953525979048021,0.8801676294031034,3.269540872020713,6,158,0.3125,0.8133288072709036,0.2862190812720848,1.0720460993712293,-0.4924209322361007,"(180, 60, 540, 420)","(1579, 526, 4736, 3683)","[[1.0720065072710854, 0.009213443738143081, -242.51494127865652], [-0.009213443738143081, 1.0720065072710854, -180.07976487643538]]",,
111,page0052,page0052,1,9,4.540131489396805,0.7824971789818032,0.7130456349206349,0.8669380370872908,3.079927940011797,5,160,0.25,0.817025057728478,0.2862190812720848,1.0969382809864012,0.32916808207739234,"(180, 60, 540, 420)","(1579, 526, 4736, 3683)","[[1.0969201783773725, -0.0063019490599286535, -206.3361022351813], [0.0063019490599286535, 1.0969201783773725, -350.9049318412866]]",,
112,page0060,page0060,1,3,4.530199634421943,0.7772759187379147,0.685551059271602,0.8973371831889637,3.5831433106655557,8,129,0.3125,0.7850396919814178,0.127208480565371,0.913470172697163,0.09779055014666496,"(200, 0, 440, 240)","(1754, 0, 3859, 2105)","[[0.9134688422035814, -0.001559080059995069, -173.8356886294823], [0.001559080059995069, 0.9134688422035814, -285.59215853352595]]",,
113,page0001,page0001,1,1,4.526204480494525,0.7840285762709893,0.7121611897337491,0.8720289355838787,2.775845494453507,6,101,0.1875,0.8080893501795522,0.127208480565371,0.86187513213317,0.24308133948258762,"(40, 360, 280, 600)","(351, 3157, 2456, 5262)","[[0.8618673755280983, -0.003656554372248884, 102.11283375495096], [0.003656554372248884, 0.8618673755280983, 255.8267056119249]]",,
114,page0059,page0059,1,2,4.513847094966868,0.770189122896038,0.6604659902292371,0.9236319903788335,3.530578038013191,8,110,0.3125,0.7957501735112122,0.127208480565371,0.951715298865038,1.6766727325839341,"(280, 40, 520, 280)","(2456, 351, 4560, 2456)","[[0.9513078272124186, -0.027846507467828133, 129.0509739894208], [0.027846507467828133, 0.9513078272124186, 139.7786381529404]]",,
115,page0012,page0012,1,2,4.509265649620954,0.7695327545924328,0.6407829090443904,0.9630304608174954,3.2513576886264364,12,170,0.25,0.7863493643608667,0.127208480565371,1.0408466776465573,0.31616968767399506,"(326, 40, 566, 280)","(2859, 351, 4964, 2456)","[[1.0408308305078882, -0.005743573115763237, -54.08354490532364], [0.005743573115763237, 1.0408308305078882, -483.83462476525403]]",,
116,page0025,page0025,1,3,4.506425184322397,0.7816602697870011,0.7397612210971739,0.8285904846598489,2.771395571572872,6,129,0.1875,0.79705466476916,0.127208480565371,0.8806763050854893,0.43002394190171495,"(40, 120, 280, 360)","(351, 1052, 2456, 3157)","[[0.8806515009391829, -0.006609707451492649, 344.7568484949274], [0.006609707451492649, 0.8806515009391829, 526.351797147808]]",,
117,page0026,page0026,1,7,4.50374240392434,0.7845392207273658,0.7245450510430537,0.8553656697662729,3.4348589238144926,8,121,0.25,0.7866889197125787,0.2862190812720848,0.8850409853047446,0.17177776464661684,"(0, 60, 360, 420)","(0, 526, 3157, 3683)","[[0.8850370076993958, -0.002653426406159438, 328.26389682608004], [0.002653426406159438, 0.8850370076993958, 471.172925177807]]",,
118,page0064,page0064,1,2,4.496827304769945,0.774579272127163,0.7735368956743003,0.7756244616709733,2.943634388585476,7,130,0.25,0.7351560460620554,0.127208480565371,0.9197724025809316,-2.9958891620412693,"(120, 280, 360, 520)","(1052, 2456, 3157, 4560)","[[0.9185153378344186, 0.04807126701495662, 95.04501226201124], [-0.04807126701495662, 0.9185153378344186, 412.3133072408979]]",,
119,page0041,page0041,1,4,4.488064721297061,0.7657661570395363,0.6454248366013072,0.9412683536394877,3.421321532303252,7,159,0.3125,0.7815190719480617,0.127208480565371,1.0905488426334304,0.1315750166901733,"(40, 0, 280, 240)","(351, 0, 2456, 2105)","[[1.0905459671124715, -0.0025043529780860237, -227.48357486130212], [0.0025043529780860237, 1.0905459671124715, -276.28135811030364]]",,
