rank,name,sketch_page,line_page,region_rank,region_score,tile_score,edge_f1,edge_precision,edge_recall,chamfer,orientation_entropy,rough_std,line_ink,support,rough_edges,line_edges,tile_bbox,decision,notes
205,ako5r_0042_0042_3194_4819.jpg,page0042,page0042,66,4.97599695473533,3.335979869054314,0.6482799520376644,0.557504873294347,0.77436503248671,6.22440767288208,0.7413276252901356,25.58663666142522,0.02322482638888889,1.0,3078,1693,"(3194, 4819, 3674, 5299)",,
206,ako5r_0023_0023_0526_3499.jpg,page0023,page0023,71,4.964825368267264,3.330468305894747,0.6500883847370291,0.560556306741356,0.7736568986568987,6.25125789642334,0.731942695317724,39.83031982104667,0.1159375,1.0,10354,6552,"(526, 3499, 1006, 3979)",,
207,ako5r_0033_0033_2696_0831.jpg,page0033,page0033,60,5.0074019453732825,3.3288108212436334,0.6498290884122727,0.5746313572073427,0.7476712651809928,6.514945030212402,0.7894301167734473,35.0934191899622,0.10189670138888889,1.0,13292,8481,"(2696, 831, 3176, 1311)",,
208,ako5r_0011_0011_2206_1726.jpg,page0011,page0011,5,6.001782141534989,3.328073668588931,0.6232912114180097,0.6230706742485784,0.6235119047619048,6.445405006408691,0.7508732659757762,17.880154284158397,0.03487413194444444,1.0,4924,4032,"(2206, 1726, 2686, 2206)",,
209,ako5r_0043_0043_3019_3019.jpg,page0043,page0043,63,5.0001658950413415,3.3268493410215108,0.6439297909029658,0.7321814254859611,0.5746641074856046,6.287696361541748,0.7683934681985384,28.73211176509035,0.07078993055555556,1.0,7871,7815,"(3019, 3019, 3499, 3499)",,
210,ako5r_0023_0023_0240_3591.jpg,page0023,page0023,86,4.778672137485191,3.3265763846278844,0.6749294209448132,0.575565251884173,0.8157602663706992,6.433900356292725,0.6523856631744803,28.17469549142659,0.02603732638888889,1.0,5042,2703,"(240, 3591, 720, 4071)",,
211,ako5r_0011_0011_3727_1726.jpg,page0011,page0011,11,5.650327630387615,3.326205641795039,0.6403218393267516,0.654468085106383,0.6267741935483871,6.063429832458496,0.6121665838685482,21.457375179798753,0.0303515625,1.0,4700,3100,"(3727, 1726, 4207, 2206)",,
212,ako5r_0049_0049_1486_4551.jpg,page0049,page0049,130,4.355755235393404,3.3206773784623405,0.6545427167918253,0.6003264544712603,0.7195238508992962,6.255204200744629,0.8070516866789118,46.50427463934414,0.12835503472222223,1.0,17154,11509,"(1486, 4551, 1966, 5031)",,
213,ako5r_0059_0059_3176_1071.jpg,page0059,page0059,114,4.513847094966868,3.318499014435467,0.65034824934585,0.5671888598781549,0.7620822793236587,6.3135833740234375,0.8154967228323431,40.06946586000467,0.06310763888888889,1.0,11490,7511,"(3176, 1071, 3656, 1551)",,
214,ako5r_0012_0012_1772_1532.jpg,page0012,page0012,3,6.063478878338192,3.3181871813431734,0.6372761513332542,0.5196261682242991,0.8237934904601572,6.443982124328613,0.6507535619282813,25.31445832173134,0.034197048611111114,1.0,5885,2673,"(1772, 1532, 2252, 2012)",,
